brand,subscriber,reviewer,RATING,category
philocaly skin,19,9.2,4.9,skin_care
raiku,17.7,24.9,4.9,skin_care
reset the skin,4.8,2.4,4.9,skin_care
rivya,12.8,1.9,4.9,skin_care
saturday looks,99.1,68.8,4.9,skin_care
scarlett whitening,3.9,2.9,4.9,skin_care
seca skin,22.3,7.0,4.9,skin_care
skin dewi,28.8,12.7,5,skin_care
skin game,73.6,78.4,4.9,skin_care
skin theory,96.8,18.0,4.9,skin_care
skinmee,18.8,3.2,4.9,skin_care
skintific,1.8,759.6,4.9,skin_care
sociolla,370.3,227.8,4.9,skin_care
somethinc,2.4,1.8,4.9,skin_care
studio tropik,247.6,163.5,4.9,skin_care
syca,43.3,22.4,4.9,skin_care
teddy clubs,44.8,22.4,4.9,skin_care
terra beaute,12.4,17.1,4.9,skin_care
the aubree,23.1,35.4,5,skin_care
the originote,249.1,159,4.9,skin_care
true to skin,120.4,43.9,4.9,skin_care
trueve,423.6,235.9,4.9,skin_care
tulus,3.9,6.3,5,skin_care
votre peau,56.9,22.6,4.9,skin_care
westcare,3.5,3.0,4.9,skin_care
white story,242.2,238.4,4.9,skin_care
whitelab,1.000,1.400,4.9,skin_care
you beauty,3.200,1.500,4.9,skin_care
zamron,111.3,136.9,4.9,skin_care
zlota,15.5,10.4,4.9,skin_care
